Condition,Index,0
NormalWalkingbothfootRecordingForth,0
NormalWalkingleftfootRecordingForthStartPoint,1495
NormalWalkingleftfootRecordingForthMiddlePoint1,2294
NormalWalkingleftfootRecordingForthMiddlePoint2,3609
NormalWalkingleftfootRecordingForthEndPoint,5164
NormalWalkingbothfootRecordingBack,6077
NormalWalkingleftfootRecordingBackEndPoint,6726
NormalWalkingleftfootRecordingBackMiddlePoint2,7795
NormalWalkingleftfootRecordingBackMiddlePoint1,8948
NormalWalkingleftfootRecordingBackStartPoint,9723
ToeTapInFrontrightfootRecordingForth,10960
ToeTapInFrontrightfootRecordingForthStartPoint,12209
ToeTapInFrontrightfootRecordingForthMiddlePoint1,13020
ToeTapInFrontrightfootRecordingForthMiddlePoint2,14713
ToeTapInFrontrightfootRecordingForthEndPoint,15974
ToeTapInFrontrightfootRecordingBack,16725
ToeTapInFrontrightfootRecordingBackEndPoint,17050
ToeTapInFrontrightfootRecordingBackMiddlePoint2,18173
ToeTapInFrontrightfootRecordingBackMiddlePoint1,19728
ToeTapInFrontrightfootRecordingBackStartPoint,20581
ToeTapInFrontleftfootRecordingForth,22100
ToeTapInFrontleftfootRecordingForthStartPoint,23289
ToeTapInFrontleftfootRecordingForthMiddlePoint1,24106
ToeTapInFrontleftfootRecordingForthMiddlePoint2,25667
ToeTapInFrontleftfootRecordingForthEndPoint,27217
ToeTapInFrontleftfootRecordingBack,27332
ToeTapInFrontleftfootRecordingBackEndPoint,27556
ToeTapInFrontleftfootRecordingBackMiddlePoint2,28781
ToeTapInFrontleftfootRecordingBackMiddlePoint1,30384
ToeTapInFrontleftfootRecordingBackStartPoint,31237
ToeTapBehindrightfootRecordingForth,32552
ToeTapBehindrightfootRecordingForthStartPoint,33723
ToeTapBehindrightfootRecordingForthMiddlePoint1,34546
ToeTapBehindrightfootRecordingForthMiddlePoint2,36029
ToeTapBehindrightfootRecordingForthEndPoint,37272
ToeTapBehindrightfootRecordingBack,37711
ToeTapBehindrightfootRecordingBackMiddlePoint2,38756
ToeTapBehindrightfootRecordingBackMiddlePoint1,40311
ToeTapBehindrightfootRecordingBackStartPoint,41122
ToeTapBehindleftfootRecordingForth,42167
ToeTapBehindleftfootRecordingForthStartPoint,43338
ToeTapBehindleftfootRecordingForthMiddlePoint1,44215
ToeTapBehindleftfootRecordingForthMiddlePoint2,45908
ToeTapBehindleftfootRecordingForthEndPoint,47451
ToeTapBehindleftfootRecordingBack,47872
ToeTapBehindleftfootRecordingBackEndPoint,48341
ToeTapBehindleftfootRecordingBackMiddlePoint2,49446
ToeTapBehindleftfootRecordingBackMiddlePoint1,50929
ToeTapBehindleftfootRecordingBackStartPoint,52010
KickInwardrightfootRecordingForth,52989
KickInwardrightfootRecordingForthStartPoint,54046
KickInwardrightfootRecordingForthMiddlePoint1,54911
KickInwardrightfootRecordingForthMiddlePoint2,56568
KickInwardrightfootRecordingForthEndPoint,58039
KickInwardrightfootRecordingBack,58178
KickInwardrightfootRecordingBackEndPoint,58593
KickInwardrightfootRecordingBackMiddlePoint2,59740
KickInwardrightfootRecordingBackMiddlePoint1,61271
KickInwardrightfootRecordingBackStartPoint,62352
KickInwardleftfootRecordingForth,63211
KickInwardleftfootRecordingForthStartPoint,64484
KickInwardleftfootRecordingForthMiddlePoint1,65355
KickInwardleftfootRecordingForthMiddlePoint2,66940
KickInwardleftfootRecordingForthEndPoint,68339
KickInwardleftfootRecordingBack,68550
KickInwardleftfootRecordingBackEndPoint,68965
KickInwardleftfootRecordingBackMiddlePoint2,70202
KickInwardleftfootRecordingBackMiddlePoint1,71763
KickInwardleftfootRecordingBackStartPoint,72898
BigStepleftfootRecordingForth,83373
BigStepleftfootRecordingForthStartPoint,84478
BigStepleftfootRecordingForthMiddlePoint1,85331
BigStepleftfootRecordingForthMiddlePoint2,86436
BigStepleftfootRecordingForthEndPoint,87583
BigStepleftfootRecordingBack,87914
BigStepleftfootRecordingBackEndPoint,88791
BigStepleftfootRecordingBackMiddlePoint2,89872
BigStepleftfootRecordingBackMiddlePoint1,91139
BigStepleftfootRecordingBackStartPoint,92004
DraggingBehindleftfootRecordingForth,92737
DraggingBehindleftfootRecordingForthStartPoint,93836
DraggingBehindleftfootRecordingForthMiddlePoint1,94683
DraggingBehindleftfootRecordingForthMiddlePoint2,96142
DraggingBehindleftfootRecordingForthEndPoint,97487
DraggingBehindleftfootRecordingBack,97932
DraggingBehindleftfootRecordingBackEndPoint,98269
DraggingBehindleftfootRecordingBackMiddlePoint2,99422
DraggingBehindleftfootRecordingBackMiddlePoint1,100833
DraggingBehindleftfootRecordingBackStartPoint,101818
DraggingBehindrightfootRecordingForth,102611
DraggingBehindrightfootRecordingForthStartPoint,103764
DraggingBehindrightfootRecordingForthMiddlePoint1,104593
DraggingBehindrightfootRecordingForthMiddlePoint2,105884
DraggingBehindrightfootRecordingBack,107145
DraggingBehindrightfootRecordingBackEndPoint,107656
DraggingBehindrightfootRecordingBackMiddlePoint2,108713
DraggingBehindrightfootRecordingBackMiddlePoint1,110190
DraggingBehindrightfootRecordingBackStartPoint,111187
TapInwardleftfootRecordingForth,111824
TapInwardleftfootRecordingForthStartPoint,113067
TapInwardleftfootRecordingForthMiddlePoint1,113962
TapInwardleftfootRecordingForthMiddlePoint2,115703
TapInwardleftfootRecordingForthEndPoint,117222
TapInwardleftfootRecordingBack,117391
TapInwardleftfootRecordingBackEndPoint,117554
TapInwardleftfootRecordingBackMiddlePoint2,118737
TapInwardleftfootRecordingBackMiddlePoint1,120358
TapInwardleftfootRecordingBackStartPoint,121523
TapInwardrightfootRecordingForth,122448
TapInwardrightfootRecordingForthStartPoint,123565
TapInwardrightfootRecordingForthMiddlePoint1,124430
TapInwardrightfootRecordingForthMiddlePoint2,126105
TapInwardrightfootRecordingForthEndPoint,127642
TapInwardrightfootRecordingBack,127763
TapInwardrightfootRecordingBackEndPoint,128070
TapInwardrightfootRecordingBackMiddlePoint2,129217
TapInwardrightfootRecordingBackMiddlePoint1,130850
TapInwardrightfootRecordingBackStartPoint,132009
BendingBehindleftfootRecordingForth,132832
BendingBehindleftfootRecordingForthStartPoint,133919
BendingBehindleftfootRecordingForthMiddlePoint1,134808
BendingBehindleftfootRecordingForthMiddlePoint2,136411
BendingBehindleftfootRecordingForthEndPoint,137798
BendingBehindleftfootRecordingBack,138711
BendingBehindleftfootRecordingBackEndPoint,138916
BendingBehindleftfootRecordingBackMiddlePoint2,140009
BendingBehindleftfootRecordingBackMiddlePoint1,141522
BendingBehindleftfootRecordingBackStartPoint,142579
BendingBehindrightfootRecordingForth,143420
BendingBehindrightfootRecordingForthStartPoint,144465
BendingBehindrightfootRecordingForthMiddlePoint1,145318
BendingBehindrightfootRecordingForthMiddlePoint2,146957
BendingBehindrightfootRecordingForthEndPoint,148386
BendingBehindrightfootRecordingBack,148735
BendingBehindrightfootRecordingBackEndPoint,149186
BendingBehindrightfootRecordingBackMiddlePoint2,150309
BendingBehindrightfootRecordingBackMiddlePoint1,151768
BendingBehindrightfootRecordingBackStartPoint,152825
DelayrightfootRecordingForth,163372
DelayrightfootRecordingForthStartPoint,154639
DelayrightfootRecordingForthMiddlePoint1,155402
DelayrightfootRecordingForthMiddlePoint2,156969
DelayrightfootRecordingForthEndPoint,158386
DelayrightfootRecordingBack,158471
DelayrightfootRecordingBackEndPoint,158970
DelayrightfootRecordingBackMiddlePoint2,159889
DelayrightfootRecordingBackMiddlePoint1,161378
DelayrightfootRecordingBackStartPoint,162417
DelayleftfootRecordingForth,165149
DelayleftfootRecordingForthStartPoint,166368
DelayleftfootRecordingForthMiddlePoint1,167221
DelayleftfootRecordingForthMiddlePoint2,168740
DelayleftfootRecordingBack,169923
DelayleftfootRecordingBackEndPoint,170458
DelayleftfootRecordingBackMiddlePoint2,171539
DelayleftfootRecordingBackMiddlePoint1,172992
DelayleftfootRecordingBackStartPoint,174085
