Condition,Index,0
NormalWalkingbothfootRecordingForth,2593
NormalWalkingleftfootRecordingForthStartPoint,3626
NormalWalkingleftfootRecordingForthMiddlePoint1,4689
NormalWalkingleftfootRecordingForthMiddlePoint2,6172
NormalWalkingleftfootRecordingForthEndPoint,7535
NormalWalkingbothfootRecordingBack,7626
NormalWalkingleftfootRecordingBackEndPoint,8449
NormalWalkingleftfootRecordingBackMiddlePoint2,9794
NormalWalkingleftfootRecordingBackMiddlePoint1,11181
NormalWalkingleftfootRecordingBackStartPoint,12232
SmallSteprightfootRecordingForth,13421
SmallSteprightfootRecordingForthStartPoint,14772
SmallSteprightfootRecordingForthMiddlePoint1,15715
SmallSteprightfootRecordingForthMiddlePoint2,17276
SmallSteprightfootRecordingForthEndPoint,18525
SmallSteprightfootRecordingBack,18664
SmallSteprightfootRecordingBackEndPoint,19487
SmallSteprightfootRecordingBackMiddlePoint2,20742
SmallSteprightfootRecordingBackMiddlePoint1,22243
SmallSteprightfootRecordingBackStartPoint,23426
SmallStepleftfootRecordingForth,24189
SmallStepleftfootRecordingForthStartPoint,25384
SmallStepleftfootRecordingForthMiddlePoint1,26339
SmallStepleftfootRecordingForthMiddlePoint2,27960
SmallStepleftfootRecordingForthEndPoint,29437
SmallStepleftfootRecordingBack,29744
SmallStepleftfootRecordingBackEndPoint,30675
SmallStepleftfootRecordingBackMiddlePoint2,31912
SmallStepleftfootRecordingBackMiddlePoint1,33599
SmallStepleftfootRecordingBackStartPoint,34776
MidairRotationInwardsleftfootRecordingForth,35689
MidairRotationInwardsleftfootRecordingForthStartPoint,36830
MidairRotationInwardsleftfootRecordingForthMiddlePoint1,37767
MidairRotationInwardsleftfootRecordingForthMiddlePoint2,39328
MidairRotationInwardsleftfootRecordingForthEndPoint,40811
MidairRotationInwardsleftfootRecordingBack,41082
MidairRotationInwardsleftfootRecordingBackEndPoint,41857
MidairRotationInwardsleftfootRecordingBackMiddlePoint2,43034
MidairRotationInwardsleftfootRecordingBackMiddlePoint1,44649
MidairRotationInwardsleftfootRecordingBackStartPoint,45844
MidairRotationInwardsrightfootRecordingForth,47015
MidairRotationInwardsrightfootRecordingForthStartPoint,48054
MidairRotationInwardsrightfootRecordingForthMiddlePoint1,48997
MidairRotationInwardsrightfootRecordingForthMiddlePoint2,50378
MidairRotationInwardsrightfootRecordingForthEndPoint,51765
MidairRotationInwardsrightfootRecordingBack,52192
MidairRotationInwardsrightfootRecordingBackEndPoint,52931
MidairRotationInwardsrightfootRecordingBackMiddlePoint2,54264
MidairRotationInwardsrightfootRecordingBackMiddlePoint1,55921
MidairRotationInwardsrightfootRecordingBackStartPoint,57158
BendingBehindleftfootRecordingForth,58203
BendingBehindleftfootRecordingForthStartPoint,59452
BendingBehindleftfootRecordingForthMiddlePoint1,60401
BendingBehindleftfootRecordingForthMiddlePoint2,61920
BendingBehindleftfootRecordingForthEndPoint,63301
BendingBehindleftfootRecordingBack,63404
BendingBehindleftfootRecordingBackEndPoint,64095
BendingBehindleftfootRecordingBackMiddlePoint2,65368
BendingBehindleftfootRecordingBackMiddlePoint1,66893
BendingBehindleftfootRecordingBackStartPoint,67944
BendingBehindrightfootRecordingForth,68929
BendingBehindrightfootRecordingForthStartPoint,70208
BendingBehindrightfootRecordingForthMiddlePoint1,71175
BendingBehindrightfootRecordingForthMiddlePoint2,72700
BendingBehindrightfootRecordingForthEndPoint,74051
BendingBehindrightfootRecordingBack,74478
BendingBehindrightfootRecordingBackEndPoint,75217
BendingBehindrightfootRecordingBackMiddlePoint2,76520
BendingBehindrightfootRecordingBackMiddlePoint1,78051
BendingBehindrightfootRecordingBackStartPoint,79096
TapInwardrightfootRecordingForth,81528
TapInwardrightfootRecordingForthStartPoint,82639
TapInwardrightfootRecordingForthMiddlePoint1,83612
TapInwardrightfootRecordingForthMiddlePoint2,85191
TapInwardrightfootRecordingForthEndPoint,86584
TapInwardrightfootRecordingBack,86699
TapInwardrightfootRecordingBackEndPoint,87444
TapInwardrightfootRecordingBackMiddlePoint2,88669
TapInwardrightfootRecordingBackMiddlePoint1,90254
TapInwardrightfootRecordingBackStartPoint,91287
TapInwardleftfootRecordingForth,92782
TapInwardleftfootRecordingForthStartPoint,93815
TapInwardleftfootRecordingForthMiddlePoint1,94770
TapInwardleftfootRecordingForthMiddlePoint2,96349
TapInwardleftfootRecordingForthEndPoint,97544
TapInwardleftfootRecordingBack,97797
TapInwardleftfootRecordingBackEndPoint,98536
TapInwardleftfootRecordingBackMiddlePoint2,99845
TapInwardleftfootRecordingBackMiddlePoint1,101412
TapInwardleftfootRecordingBackStartPoint,102445
BigStepleftfootRecordingForth,103527
BigStepleftfootRecordingForthStartPoint,104614
BigStepleftfootRecordingForthMiddlePoint1,105593
BigStepleftfootRecordingForthMiddlePoint2,107004
BigStepleftfootRecordingForthEndPoint,108289
BigStepleftfootRecordingBack,108440
BigStepleftfootRecordingBackEndPoint,109155
BigStepleftfootRecordingBackMiddlePoint2,110416
BigStepleftfootRecordingBackMiddlePoint1,111821
BigStepleftfootRecordingBackStartPoint,112788
BigSteprightfootRecordingForth,113635
BigSteprightfootRecordingForthStartPoint,114806
BigSteprightfootRecordingForthMiddlePoint1,115737
